"STD_YM","SIDO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","SCLS_NM","MCLS_NM","LCLS_NM","MAN_SALE_AMT_10G","MAN_SALE_AMT_20G","MAN_SALE_AMT_30G","MAN_SALE_AMT_40G","MAN_SALE_AMT_50G","MAN_SALE_AMT_60GU","WMAN_SALE_AMT_10G","WMAN_SALE_AMT_20G","WMAN_SALE_AMT_30G","WMAN_SALE_AMT_40G","WMAN_SALE_AMT_50G","WMAN_SALE_AMT_60GU","MAN_APV_CNT_10G","MAN_APV_CNT_20G","MAN_APV_CNT_30G","MAN_APV_CNT_40G","MAN_APV_CNT_50G","MAN_APV_CNT_60GU","WMAN_APV_CNT_10G","WMAN_APV_CNT_20G","WMAN_APV_CNT_30G","WMAN_APV_CNT_40G","WMAN_APV_CNT_50G","WMAN_APV_CNT_60GU","MAN_PRICE_10G","MAN_PRICE_20G","MAN_PRICE_30G","MAN_PRICE_40G","MAN_PRICE_50G","MAN_PRICE_60GU","WMAN_PRICE_10G","WMAN_PRICE_20G","WMAN_PRICE_30G","WMAN_PRICE_40G","WMAN_PRICE_50G","WMAN_PRICE_60GU","DATA_LOAD_DT"
"201603","서울특별시","종로구","사직동","11010530100021000001","순대 전문점","별식/퓨전요리","음식","0","654269.97","2014462.8","5242768.55","4863980.66","619834.7","0","1971418.72","1980027.51","1446280.98","1274104.68","0","0","51","153","357","306","68","0","68","153","136","85","0","0","12828.82","13166.42","14685.63","15895.36","9115.22","0","28991.45","12941.36","10634.42","14989.47","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","안마시술소","요가/단전/마사지","관광/여가/오락","0","0","0","0","0","0","0","0","1068010.94","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","48545.95","0","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","여관/여인숙","모텔/여관/여인숙","숙박","0","6885690.56","5934009.75","17354179.48","0","0","0","335887.35","4310554.24","0","559812.24","0","0","132","99","176","0","0","0","11","77","0","11","0","0","52164.32","59939.49","98603.29","0","0","0","30535.21","55981.22","0","50892.02","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","중국음식/중국집","중식","음식","0","1614152.9","3428984.23","1413474.45","2547744.01","0","0","0","2678621.26","1204070.81","279204.83","0","0","51","187","68","153","0","0","0","136","51","17","0","0","31650.06","18336.81","20786.39","16651.92","0","0","0","19695.74","23609.23","16423.81","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","카페","다방/커피숍/카페","음식","0","0","365783.79","1067338.36","0","0","0","497090.8","566495.94","0","168823.29","0","0","0","38","114","0","0","0","38","57","0","19","0","0","0","9625.89","9362.62","0","0","0","13081.34","9938.53","0","8885.44","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","커피전문점","다방/커피숍/카페","음식","0","536039.08","1666382.31","5250852.32","5088875.28","407855.8","0","2181445.96","2062585.15","1943724.29","2186107.14","0","0","46","208","898","438","93","0","300","231","346","253","0","0","11653.02","8011.45","5847.27","11618.44","4385.55","0","7271.49","8928.94","5617.7","8640.74","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","프랜차이즈_샌드위치/토스트 전문점","프랜차이즈_패스트푸드","프랜차이즈_음식","0","384091.92","389658.46","1246907.09","573354.6","0","0","166996.49","0","133597.19","634586.64","0","0","56","56","280","167","0","0","56","0","56","224","0","0","6858.78","6958.19","4453.24","3433.26","0","0","2982.08","0","2385.66","2832.98","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","프랜차이즈_커피전문점","프랜차이즈_다방/커피숍/카페","프랜차이즈_음식","0","212085.03","489426.99","1139665.67","543030.92","316962.24","0","214415.65","829695.32","1107037.23","435823.07","0","0","46","69","138","115","46","0","69","161","184","115","0","0","4610.54","7093.14","8258.45","4722.01","6890.48","0","3107.47","5153.39","6016.51","3789.77","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","한식/백반 전문점","한식","음식","0","0","439758.02","18134.36","54403.07","0","0","0","108806.11","0","154142","0","0","0","45","9","9","0","0","0","9","0","18","0","0","0","9772.4","2014.93","6044.79","0","0","0","12089.57","0","8563.44","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","해장국/감자탕 전문","한식","음식","0","0","0","3942208.46","2437694.09","133311.39","0","0","1333113.95","1333113.95","533245.57","0","0","0","0","361","190","19","0","0","95","38","19","0","0","0","0","10920.25","12829.97","7016.39","0","0","14032.78","35081.95","28065.56","0","2016-03-30 오후 6:39:20"
